Year,Surface_Temperature,Net_TOA_Flux,Run_Type,Model,Simulation
1850,13.101647949218773,0.8933258,tas_co2,MOHC_UKESM1-0-LL,r3i1p1f2
1851,13.341210937500023,0.16221619,tas_co2,MOHC_UKESM1-0-LL,r3i1p1f2
1852,13.503503417968773,0.033355713,tas_co2,MOHC_UKESM1-0-LL,r3i1p1f2
1853,13.534051513671898,-0.30262756,tas_co2,MOHC_UKESM1-0-LL,r3i1p1f2
1854,13.454187011718773,-0.028076172,tas_co2,MOHC_UKESM1-0-LL,r3i1p1f2
1855,13.342614746093773,0.33436584,tas_co2,MOHC_UKESM1-0-LL,r3i1p1f2
1856,13.431573486328148,0.21456909,tas_co2,MOHC_UKESM1-0-LL,r3i1p1f2
1857,13.646630859375023,-0.11557007,tas_co2,MOHC_UKESM1-0-LL,r3i1p1f2
1858,13.418634033203148,-0.20974731,tas_co2,MOHC_UKESM1-0-LL,r3i1p1f2
1859,13.354211425781273,0.27485657,tas_co2,MOHC_UKESM1-0-LL,r3i1p1f2
1860,13.420892333984398,-0.5436554,tas_co2,MOHC_UKESM1-0-LL,r3i1p1f2
1861,13.316644287109398,-0.4717102,tas_co2,MOHC_UKESM1-0-LL,r3i1p1f2
1862,13.164178466796898,-0.34854126,tas_co2,MOHC_UKESM1-0-LL,r3i1p1f2
1863,13.187738037109398,0.360672,tas_co2,MOHC_UKESM1-0-LL,r3i1p1f2
1864,13.271997070312523,0.17462158,tas_co2,MOHC_UKESM1-0-LL,r3i1p1f2
1865,13.342767333984398,0.037460327,tas_co2,MOHC_UKESM1-0-LL,r3i1p1f2
1866,13.303460693359398,0.08102417,tas_co2,MOHC_UKESM1-0-LL,r3i1p1f2
1867,13.377526855468773,0.41696167,tas_co2,MOHC_UKESM1-0-LL,r3i1p1f2
1868,13.426049804687523,-0.0690918,tas_co2,MOHC_UKESM1-0-LL,r3i1p1f2
1869,13.401055908203148,0.41436768,tas_co2,MOHC_UKESM1-0-LL,r3i1p1f2
1870,13.382714843750023,0.2552185,tas_co2,MOHC_UKESM1-0-LL,r3i1p1f2
1871,13.455895996093773,0.010055542,tas_co2,MOHC_UKESM1-0-LL,r3i1p1f2
1872,13.382501220703148,0.14546204,tas_co2,MOHC_UKESM1-0-LL,r3i1p1f2
1873,13.368676757812523,0.42266846,tas_co2,MOHC_UKESM1-0-LL,r3i1p1f2
1874,13.579766845703148,-0.16207886,tas_co2,MOHC_UKESM1-0-LL,r3i1p1f2
1875,13.597955322265648,-0.15620422,tas_co2,MOHC_UKESM1-0-LL,r3i1p1f2
1876,13.635614013671898,-0.037963867,tas_co2,MOHC_UKESM1-0-LL,r3i1p1f2
1877,13.566400146484398,0.12289429,tas_co2,MOHC_UKESM1-0-LL,r3i1p1f2
1878,13.396356201171898,-0.41940308,tas_co2,MOHC_UKESM1-0-LL,r3i1p1f2
1879,13.286157226562523,0.24336243,tas_co2,MOHC_UKESM1-0-LL,r3i1p1f2
1880,13.310083007812523,0.6078949,tas_co2,MOHC_UKESM1-0-LL,r3i1p1f2
1881,13.502191162109398,-0.68621826,tas_co2,MOHC_UKESM1-0-LL,r3i1p1f2
1882,13.229730224609398,0.48036194,tas_co2,MOHC_UKESM1-0-LL,r3i1p1f2
1883,13.399011230468773,-0.12721252,tas_co2,MOHC_UKESM1-0-LL,r3i1p1f2
1884,13.294976806640648,-2.3085022,tas_co2,MOHC_UKESM1-0-LL,r3i1p1f2
1885,13.141290283203148,-0.1000824,tas_co2,MOHC_UKESM1-0-LL,r3i1p1f2
1886,13.144921875000023,0.34542847,tas_co2,MOHC_UKESM1-0-LL,r3i1p1f2
