Year,Surface_Temperature,Net_TOA_Flux,Run_Type,Model,Simulation
1850,13.223840332031273,0.32824707,tas_co2,MOHC_UKESM1-0-LL,r8i1p1f2
1851,13.169641113281273,0.30673218,tas_co2,MOHC_UKESM1-0-LL,r8i1p1f2
1852,13.215295410156273,0.19174194,tas_co2,MOHC_UKESM1-0-LL,r8i1p1f2
1853,13.328698730468773,-0.009277344,tas_co2,MOHC_UKESM1-0-LL,r8i1p1f2
1854,13.173944091796898,-0.09121704,tas_co2,MOHC_UKESM1-0-LL,r8i1p1f2
1855,13.226892089843773,0.43397522,tas_co2,MOHC_UKESM1-0-LL,r8i1p1f2
1856,13.246270751953148,-0.11798096,tas_co2,MOHC_UKESM1-0-LL,r8i1p1f2
1857,13.165734863281273,0.4879303,tas_co2,MOHC_UKESM1-0-LL,r8i1p1f2
1858,13.374230957031273,0.5834656,tas_co2,MOHC_UKESM1-0-LL,r8i1p1f2
1859,13.588159179687523,-0.12663269,tas_co2,MOHC_UKESM1-0-LL,r8i1p1f2
1860,13.487878417968773,-0.28952026,tas_co2,MOHC_UKESM1-0-LL,r8i1p1f2
1861,13.332147216796898,-0.36235046,tas_co2,MOHC_UKESM1-0-LL,r8i1p1f2
1862,13.262536621093773,-0.04525757,tas_co2,MOHC_UKESM1-0-LL,r8i1p1f2
1863,13.373986816406273,0.3276062,tas_co2,MOHC_UKESM1-0-LL,r8i1p1f2
1864,13.276361083984398,0.11112976,tas_co2,MOHC_UKESM1-0-LL,r8i1p1f2
1865,13.335290527343773,0.23402405,tas_co2,MOHC_UKESM1-0-LL,r8i1p1f2
1866,13.366693115234398,0.36979675,tas_co2,MOHC_UKESM1-0-LL,r8i1p1f2
1867,13.362451171875023,0.031570435,tas_co2,MOHC_UKESM1-0-LL,r8i1p1f2
1868,13.275415039062523,0.38101196,tas_co2,MOHC_UKESM1-0-LL,r8i1p1f2
1869,13.433129882812523,0.32937622,tas_co2,MOHC_UKESM1-0-LL,r8i1p1f2
1870,13.490594482421898,-0.35357666,tas_co2,MOHC_UKESM1-0-LL,r8i1p1f2
1871,13.319665527343773,0.122924805,tas_co2,MOHC_UKESM1-0-LL,r8i1p1f2
1872,13.415704345703148,0.1914978,tas_co2,MOHC_UKESM1-0-LL,r8i1p1f2
1873,13.313134765625023,-0.17225647,tas_co2,MOHC_UKESM1-0-LL,r8i1p1f2
1874,13.251397705078148,-0.20381165,tas_co2,MOHC_UKESM1-0-LL,r8i1p1f2
1875,13.128472900390648,0.3084259,tas_co2,MOHC_UKESM1-0-LL,r8i1p1f2
