Year,Surface_Temperature,Net_TOA_Flux,Run_Type,Model,Simulation
1850,13.857507324218773,0.43832397,tas_toa,CSIRO-ARCCSS_ACCESS-CM2,r1i1p1f1
1851,13.866998291015648,0.87483215,tas_toa,CSIRO-ARCCSS_ACCESS-CM2,r1i1p1f1
1852,14.024530029296898,0.35684204,tas_toa,CSIRO-ARCCSS_ACCESS-CM2,r1i1p1f1
1853,13.920953369140648,0.117248535,tas_toa,CSIRO-ARCCSS_ACCESS-CM2,r1i1p1f1
1854,13.991143798828148,-0.06538391,tas_toa,CSIRO-ARCCSS_ACCESS-CM2,r1i1p1f1
1855,13.762231445312523,0.04434204,tas_toa,CSIRO-ARCCSS_ACCESS-CM2,r1i1p1f1
1856,13.791253662109398,0.710495,tas_toa,CSIRO-ARCCSS_ACCESS-CM2,r1i1p1f1
1857,13.851464843750023,0.35920715,tas_toa,CSIRO-ARCCSS_ACCESS-CM2,r1i1p1f1
1858,13.767907714843773,0.41697693,tas_toa,CSIRO-ARCCSS_ACCESS-CM2,r1i1p1f1
1859,13.879296875000023,0.27146912,tas_toa,CSIRO-ARCCSS_ACCESS-CM2,r1i1p1f1
1860,13.846520996093773,0.22518921,tas_toa,CSIRO-ARCCSS_ACCESS-CM2,r1i1p1f1
1861,13.726037597656273,0.31033325,tas_toa,CSIRO-ARCCSS_ACCESS-CM2,r1i1p1f1
1862,13.713159179687523,0.029174805,tas_toa,CSIRO-ARCCSS_ACCESS-CM2,r1i1p1f1
1863,13.625268554687523,0.28826904,tas_toa,CSIRO-ARCCSS_ACCESS-CM2,r1i1p1f1
1864,13.734155273437523,0.3004303,tas_toa,CSIRO-ARCCSS_ACCESS-CM2,r1i1p1f1
1865,13.668664550781273,0.3670044,tas_toa,CSIRO-ARCCSS_ACCESS-CM2,r1i1p1f1
1866,13.692102050781273,0.7197113,tas_toa,CSIRO-ARCCSS_ACCESS-CM2,r1i1p1f1
1867,13.793237304687523,-0.03793335,tas_toa,CSIRO-ARCCSS_ACCESS-CM2,r1i1p1f1
1868,13.647637939453148,0.85098267,tas_toa,CSIRO-ARCCSS_ACCESS-CM2,r1i1p1f1
1869,13.704675292968773,0.68492126,tas_toa,CSIRO-ARCCSS_ACCESS-CM2,r1i1p1f1
