Year,Surface_Temperature,Run_Type,Model,Simulation
1850,13.304864501953148,tas_toa,CCCma_CanESM5,r17i1p1f1
1851,13.152673339843773,tas_toa,CCCma_CanESM5,r17i1p1f1
1852,13.291650390625023,tas_toa,CCCma_CanESM5,r17i1p1f1
1853,13.394403076171898,tas_toa,CCCma_CanESM5,r17i1p1f1
1854,13.466088867187523,tas_toa,CCCma_CanESM5,r17i1p1f1
1855,13.206994628906273,tas_toa,CCCma_CanESM5,r17i1p1f1
1856,13.189599609375023,tas_toa,CCCma_CanESM5,r17i1p1f1
1857,13.257257080078148,tas_toa,CCCma_CanESM5,r17i1p1f1
1858,13.278680419921898,tas_toa,CCCma_CanESM5,r17i1p1f1
1859,13.225366210937523,tas_toa,CCCma_CanESM5,r17i1p1f1
1860,13.212091064453148,tas_toa,CCCma_CanESM5,r17i1p1f1
1861,13.364739990234398,tas_toa,CCCma_CanESM5,r17i1p1f1
1862,13.546777343750023,tas_toa,CCCma_CanESM5,r17i1p1f1
1863,13.446679687500023,tas_toa,CCCma_CanESM5,r17i1p1f1
1864,13.420129394531273,tas_toa,CCCma_CanESM5,r17i1p1f1
1865,13.397363281250023,tas_toa,CCCma_CanESM5,r17i1p1f1
1866,13.392205810546898,tas_toa,CCCma_CanESM5,r17i1p1f1
1867,13.300103759765648,tas_toa,CCCma_CanESM5,r17i1p1f1
1868,13.430932617187523,tas_toa,CCCma_CanESM5,r17i1p1f1
1869,13.399621582031273,tas_toa,CCCma_CanESM5,r17i1p1f1
1870,13.419396972656273,tas_toa,CCCma_CanESM5,r17i1p1f1
1871,13.409387207031273,tas_toa,CCCma_CanESM5,r17i1p1f1
1872,13.392236328125023,tas_toa,CCCma_CanESM5,r17i1p1f1
1873,13.477838134765648,tas_toa,CCCma_CanESM5,r17i1p1f1
1874,13.360009765625023,tas_toa,CCCma_CanESM5,r17i1p1f1
1875,13.430200195312523,tas_toa,CCCma_CanESM5,r17i1p1f1
1876,13.390161132812523,tas_toa,CCCma_CanESM5,r17i1p1f1
1877,13.472985839843773,tas_toa,CCCma_CanESM5,r17i1p1f1
1878,13.574853515625023,tas_toa,CCCma_CanESM5,r17i1p1f1
1879,13.523278808593773,tas_toa,CCCma_CanESM5,r17i1p1f1
1880,13.441278076171898,tas_toa,CCCma_CanESM5,r17i1p1f1
1881,13.403344726562523,tas_toa,CCCma_CanESM5,r17i1p1f1
1882,13.472650146484398,tas_toa,CCCma_CanESM5,r17i1p1f1
1883,13.571130371093773,tas_toa,CCCma_CanESM5,r17i1p1f1
1884,13.322351074218773,tas_toa,CCCma_CanESM5,r17i1p1f1
1885,13.283288574218773,tas_toa,CCCma_CanESM5,r17i1p1f1
1886,13.276116943359398,tas_toa,CCCma_CanESM5,r17i1p1f1
1887,13.188165283203148,tas_toa,CCCma_CanESM5,r17i1p1f1
1888,13.330133056640648,tas_toa,CCCma_CanESM5,r17i1p1f1
1889,13.485009765625023,tas_toa,CCCma_CanESM5,r17i1p1f1
1890,13.369775390625023,tas_toa,CCCma_CanESM5,r17i1p1f1
1891,13.469689941406273,tas_toa,CCCma_CanESM5,r17i1p1f1
1892,13.369958496093773,tas_toa,CCCma_CanESM5,r17i1p1f1
1893,13.336999511718773,tas_toa,CCCma_CanESM5,r17i1p1f1
1894,13.622552490234398,tas_toa,CCCma_CanESM5,r17i1p1f1
1895,13.685479736328148,tas_toa,CCCma_CanESM5,r17i1p1f1
1896,13.814965820312523,tas_toa,CCCma_CanESM5,r17i1p1f1
1897,13.801446533203148,tas_toa,CCCma_CanESM5,r17i1p1f1
1898,13.796105957031273,tas_toa,CCCma_CanESM5,r17i1p1f1
1899,13.685540771484398,tas_toa,CCCma_CanESM5,r17i1p1f1
1900,13.543328857421898,tas_toa,CCCma_CanESM5,r17i1p1f1
1901,13.528466796875023,tas_toa,CCCma_CanESM5,r17i1p1f1
1902,13.530114746093773,tas_toa,CCCma_CanESM5,r17i1p1f1
1903,13.409814453125023,tas_toa,CCCma_CanESM5,r17i1p1f1
1904,13.417443847656273,tas_toa,CCCma_CanESM5,r17i1p1f1
1905,13.537164306640648,tas_toa,CCCma_CanESM5,r17i1p1f1
1906,13.603356933593773,tas_toa,CCCma_CanESM5,r17i1p1f1
1907,13.560968017578148,tas_toa,CCCma_CanESM5,r17i1p1f1
1908,13.566888427734398,tas_toa,CCCma_CanESM5,r17i1p1f1
1909,13.456170654296898,tas_toa,CCCma_CanESM5,r17i1p1f1
1910,13.478936767578148,tas_toa,CCCma_CanESM5,r17i1p1f1
1911,13.541528320312523,tas_toa,CCCma_CanESM5,r17i1p1f1
1912,13.526696777343773,tas_toa,CCCma_CanESM5,r17i1p1f1
1913,13.362176513671898,tas_toa,CCCma_CanESM5,r17i1p1f1
1914,13.461419677734398,tas_toa,CCCma_CanESM5,r17i1p1f1
1915,13.627770996093773,tas_toa,CCCma_CanESM5,r17i1p1f1
1916,13.661523437500023,tas_toa,CCCma_CanESM5,r17i1p1f1
