Year,Surface_Temperature,Net_TOA_Flux,Run_Type,Model,Simulation
1850,12.929833984375023,1.0994873,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r1i1p1f2
1851,12.883111572265648,1.6279602,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r1i1p1f2
1852,12.861566162109398,1.401947,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r1i1p1f2
1853,12.873223876953148,1.5870361,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r1i1p1f2
1854,12.875909423828148,1.1858826,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r1i1p1f2
1855,12.855737304687523,1.6351318,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r1i1p1f2
1856,12.887078857421898,1.6440277,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r1i1p1f2
1857,13.031701660156273,1.1809387,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r1i1p1f2
1858,12.999658203125023,1.260025,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r1i1p1f2
1859,12.942346191406273,1.3613129,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r1i1p1f2
1860,12.971948242187523,1.3189392,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r1i1p1f2
1861,12.768518066406273,1.5333099,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r1i1p1f2
1862,12.679528808593773,1.5555573,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r1i1p1f2
1863,12.819726562500023,1.6305695,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r1i1p1f2
1864,12.975427246093773,0.9193878,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r1i1p1f2
1865,12.830957031250023,1.592926,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r1i1p1f2
1866,12.891625976562523,1.2885895,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r1i1p1f2
1867,12.885430908203148,1.5406647,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r1i1p1f2
1868,12.842980957031273,1.530304,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r1i1p1f2
1869,12.909722900390648,1.813385,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r1i1p1f2
1870,12.907861328125023,1.289154,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r1i1p1f2
1871,12.889672851562523,1.0950623,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r1i1p1f2
1872,12.848962402343773,1.4065857,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r1i1p1f2
1873,12.766259765625023,1.5884094,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r1i1p1f2
1874,12.913262939453148,1.4271698,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r1i1p1f2
1875,12.696923828125023,1.7057037,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r1i1p1f2
1876,12.851068115234398,1.7259216,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r1i1p1f2
1877,13.029504394531273,0.94711304,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r1i1p1f2
1878,12.785089111328148,1.679245,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r1i1p1f2
1879,12.947259521484398,1.5148926,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r1i1p1f2
1880,13.004205322265648,0.8621826,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r1i1p1f2
1881,12.893304443359398,1.9198303,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r1i1p1f2
1882,12.946679687500023,1.535141,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r1i1p1f2
1883,12.973138427734398,0.58351135,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r1i1p1f2
1884,12.556634521484398,0.9586792,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r1i1p1f2
1885,12.778100585937523,1.4003601,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r1i1p1f2
1886,12.833001708984398,1.3711548,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r1i1p1f2
