Year,Surface_Temperature,Net_TOA_Flux,Run_Type,Model,Simulation
1850,14.055688476562523,0.5706024,tas_toa,NCAR_CESM2,r1i1p1f1
1851,14.146997070312523,0.2334137,tas_toa,NCAR_CESM2,r1i1p1f1
1852,13.984643554687523,1.0066833,tas_toa,NCAR_CESM2,r1i1p1f1
1853,13.987481689453148,0.68092346,tas_toa,NCAR_CESM2,r1i1p1f1
1854,13.949670410156273,-0.03916931,tas_toa,NCAR_CESM2,r1i1p1f1
1855,13.803552246093773,1.0599518,tas_toa,NCAR_CESM2,r1i1p1f1
1856,13.929864501953148,0.7716522,tas_toa,NCAR_CESM2,r1i1p1f1
1857,14.024530029296898,0.30210876,tas_toa,NCAR_CESM2,r1i1p1f1
1858,13.895166015625023,1.4559174,tas_toa,NCAR_CESM2,r1i1p1f1
1859,14.049432373046898,1.603714,tas_toa,NCAR_CESM2,r1i1p1f1
1860,14.162957763671898,0.3202057,tas_toa,NCAR_CESM2,r1i1p1f1
1861,14.036553955078148,0.9432373,tas_toa,NCAR_CESM2,r1i1p1f1
1862,14.184503173828148,0.07496643,tas_toa,NCAR_CESM2,r1i1p1f1
1863,14.164239501953148,0.27059937,tas_toa,NCAR_CESM2,r1i1p1f1
1864,14.150811767578148,0.5469818,tas_toa,NCAR_CESM2,r1i1p1f1
1865,14.047937011718773,0.5330963,tas_toa,NCAR_CESM2,r1i1p1f1
1866,14.133294677734398,0.56944275,tas_toa,NCAR_CESM2,r1i1p1f1
1867,13.987237548828148,0.21676636,tas_toa,NCAR_CESM2,r1i1p1f1
1868,13.929650878906273,1.0197754,tas_toa,NCAR_CESM2,r1i1p1f1
1869,13.995050048828148,0.6040344,tas_toa,NCAR_CESM2,r1i1p1f1
1870,13.940484619140648,1.0176239,tas_toa,NCAR_CESM2,r1i1p1f1
1871,13.980859375000023,1.4967957,tas_toa,NCAR_CESM2,r1i1p1f1
1872,14.215600585937523,1.1093903,tas_toa,NCAR_CESM2,r1i1p1f1
1873,14.174462890625023,-0.770813,tas_toa,NCAR_CESM2,r1i1p1f1
1874,13.953088378906273,1.2082367,tas_toa,NCAR_CESM2,r1i1p1f1
1875,14.023553466796898,0.5372162,tas_toa,NCAR_CESM2,r1i1p1f1
1876,13.947229003906273,0.777771,tas_toa,NCAR_CESM2,r1i1p1f1
1877,14.060845947265648,1.1708679,tas_toa,NCAR_CESM2,r1i1p1f1
1878,14.083276367187523,0.9476013,tas_toa,NCAR_CESM2,r1i1p1f1
1879,14.143426513671898,0.5281067,tas_toa,NCAR_CESM2,r1i1p1f1
1880,14.203759765625023,1.1101227,tas_toa,NCAR_CESM2,r1i1p1f1
1881,14.060327148437523,-0.19648743,tas_toa,NCAR_CESM2,r1i1p1f1
1882,13.814813232421898,1.3365326,tas_toa,NCAR_CESM2,r1i1p1f1
1883,13.998437500000023,0.57429504,tas_toa,NCAR_CESM2,r1i1p1f1
1884,13.935906982421898,-0.22573853,tas_toa,NCAR_CESM2,r1i1p1f1
1885,13.783898925781273,-0.020309448,tas_toa,NCAR_CESM2,r1i1p1f1
1886,13.818994140625023,1.0414124,tas_toa,NCAR_CESM2,r1i1p1f1
1887,13.996179199218773,0.9167328,tas_toa,NCAR_CESM2,r1i1p1f1
1888,14.042230224609398,-0.5833893,tas_toa,NCAR_CESM2,r1i1p1f1
1889,13.780480957031273,0.4446106,tas_toa,NCAR_CESM2,r1i1p1f1
1890,13.922021484375023,1.4611511,tas_toa,NCAR_CESM2,r1i1p1f1
1891,14.128747558593773,1.3903351,tas_toa,NCAR_CESM2,r1i1p1f1
1892,14.044061279296898,0.6129608,tas_toa,NCAR_CESM2,r1i1p1f1
1893,14.080224609375023,0.91619873,tas_toa,NCAR_CESM2,r1i1p1f1
1894,14.089624023437523,0.71447754,tas_toa,NCAR_CESM2,r1i1p1f1
1895,14.028527832031273,0.22467041,tas_toa,NCAR_CESM2,r1i1p1f1
1896,14.035241699218773,1.147522,tas_toa,NCAR_CESM2,r1i1p1f1
1897,14.074273681640648,1.0186768,tas_toa,NCAR_CESM2,r1i1p1f1
1898,14.111505126953148,0.9633484,tas_toa,NCAR_CESM2,r1i1p1f1
1899,14.090203857421898,0.7371521,tas_toa,NCAR_CESM2,r1i1p1f1
1900,14.109765625000023,0.34124756,tas_toa,NCAR_CESM2,r1i1p1f1
1901,14.114648437500023,0.7367401,tas_toa,NCAR_CESM2,r1i1p1f1
1902,14.159234619140648,0.44795227,tas_toa,NCAR_CESM2,r1i1p1f1
1903,14.078729248046898,0.5312042,tas_toa,NCAR_CESM2,r1i1p1f1
1904,14.199029541015648,-0.041046143,tas_toa,NCAR_CESM2,r1i1p1f1
1905,14.074975585937523,1.9333649,tas_toa,NCAR_CESM2,r1i1p1f1
1906,14.128289794921898,0.21089172,tas_toa,NCAR_CESM2,r1i1p1f1
1907,14.085656738281273,0.3683319,tas_toa,NCAR_CESM2,r1i1p1f1
1908,14.006677246093773,-0.08067322,tas_toa,NCAR_CESM2,r1i1p1f1
1909,13.997460937500023,0.97084045,tas_toa,NCAR_CESM2,r1i1p1f1
1910,14.126611328125023,0.7297363,tas_toa,NCAR_CESM2,r1i1p1f1
1911,14.163690185546898,0.09687805,tas_toa,NCAR_CESM2,r1i1p1f1
1912,13.922235107421898,0.401062,tas_toa,NCAR_CESM2,r1i1p1f1
1913,13.899835205078148,0.885437,tas_toa,NCAR_CESM2,r1i1p1f1
