Year,Surface_Temperature,Net_TOA_Flux,Run_Type,Model,Simulation
1850,13.326898193359398,0.46766663,tas_toa,MOHC_UKESM1-0-LL,r1i1p1f2
1851,13.335351562500023,0.14871216,tas_toa,MOHC_UKESM1-0-LL,r1i1p1f2
1852,13.439569091796898,-0.25950623,tas_toa,MOHC_UKESM1-0-LL,r1i1p1f2
1853,13.489953613281273,0.5566864,tas_toa,MOHC_UKESM1-0-LL,r1i1p1f2
1854,13.411096191406273,-0.4758911,tas_toa,MOHC_UKESM1-0-LL,r1i1p1f2
1855,13.282037353515648,0.4925232,tas_toa,MOHC_UKESM1-0-LL,r1i1p1f2
1856,13.475366210937523,-0.053009033,tas_toa,MOHC_UKESM1-0-LL,r1i1p1f2
1857,13.495294189453148,-0.24610901,tas_toa,MOHC_UKESM1-0-LL,r1i1p1f2
1858,13.477105712890648,0.42253113,tas_toa,MOHC_UKESM1-0-LL,r1i1p1f2
1859,13.515893554687523,-0.024627686,tas_toa,MOHC_UKESM1-0-LL,r1i1p1f2
1860,13.440545654296898,0.45947266,tas_toa,MOHC_UKESM1-0-LL,r1i1p1f2
1861,13.537591552734398,-0.48892212,tas_toa,MOHC_UKESM1-0-LL,r1i1p1f2
1862,13.454064941406273,-0.63124084,tas_toa,MOHC_UKESM1-0-LL,r1i1p1f2
1863,13.483392333984398,0.13623047,tas_toa,MOHC_UKESM1-0-LL,r1i1p1f2
1864,13.465447998046898,-0.7198181,tas_toa,MOHC_UKESM1-0-LL,r1i1p1f2
1865,13.276574707031273,0.2808075,tas_toa,MOHC_UKESM1-0-LL,r1i1p1f2
1866,13.355615234375023,0.47276306,tas_toa,MOHC_UKESM1-0-LL,r1i1p1f2
1867,13.379663085937523,-0.22618103,tas_toa,MOHC_UKESM1-0-LL,r1i1p1f2
1868,13.337182617187523,-0.34654236,tas_toa,MOHC_UKESM1-0-LL,r1i1p1f2
1869,13.155908203125023,-0.19526672,tas_toa,MOHC_UKESM1-0-LL,r1i1p1f2
1870,13.049798583984398,0.60643005,tas_toa,MOHC_UKESM1-0-LL,r1i1p1f2
1871,13.231072998046898,0.9808502,tas_toa,MOHC_UKESM1-0-LL,r1i1p1f2
1872,13.505273437500023,0.12246704,tas_toa,MOHC_UKESM1-0-LL,r1i1p1f2
1873,13.546228027343773,-0.72587585,tas_toa,MOHC_UKESM1-0-LL,r1i1p1f2
1874,13.338159179687523,0.17814636,tas_toa,MOHC_UKESM1-0-LL,r1i1p1f2
1875,13.301965332031273,0.10369873,tas_toa,MOHC_UKESM1-0-LL,r1i1p1f2
1876,13.339685058593773,0.6108856,tas_toa,MOHC_UKESM1-0-LL,r1i1p1f2
1877,13.469812011718773,0.009170532,tas_toa,MOHC_UKESM1-0-LL,r1i1p1f2
1878,13.607598876953148,-0.42463684,tas_toa,MOHC_UKESM1-0-LL,r1i1p1f2
1879,13.419519042968773,-0.3129425,tas_toa,MOHC_UKESM1-0-LL,r1i1p1f2
1880,13.424951171875023,0.21594238,tas_toa,MOHC_UKESM1-0-LL,r1i1p1f2
1881,13.344995117187523,0.018295288,tas_toa,MOHC_UKESM1-0-LL,r1i1p1f2
1882,13.421929931640648,0.33299255,tas_toa,MOHC_UKESM1-0-LL,r1i1p1f2
1883,13.470910644531273,-0.9939728,tas_toa,MOHC_UKESM1-0-LL,r1i1p1f2
1884,13.170281982421898,-1.583313,tas_toa,MOHC_UKESM1-0-LL,r1i1p1f2
1885,13.127587890625023,-0.08717346,tas_toa,MOHC_UKESM1-0-LL,r1i1p1f2
1886,13.202691650390648,0.3603058,tas_toa,MOHC_UKESM1-0-LL,r1i1p1f2
1887,13.301171875000023,0.44198608,tas_toa,MOHC_UKESM1-0-LL,r1i1p1f2
1888,13.461114501953148,-0.19473267,tas_toa,MOHC_UKESM1-0-LL,r1i1p1f2
1889,13.413507080078148,0.08157349,tas_toa,MOHC_UKESM1-0-LL,r1i1p1f2
1890,13.371759033203148,0.49829102,tas_toa,MOHC_UKESM1-0-LL,r1i1p1f2
1891,13.581445312500023,-0.2625885,tas_toa,MOHC_UKESM1-0-LL,r1i1p1f2
1892,13.566735839843773,-0.6773987,tas_toa,MOHC_UKESM1-0-LL,r1i1p1f2
1893,13.274133300781273,0.09931946,tas_toa,MOHC_UKESM1-0-LL,r1i1p1f2
1894,13.333093261718773,0.5044861,tas_toa,MOHC_UKESM1-0-LL,r1i1p1f2
1895,13.402978515625023,0.4367981,tas_toa,MOHC_UKESM1-0-LL,r1i1p1f2
1896,13.479791259765648,0.17588806,tas_toa,MOHC_UKESM1-0-LL,r1i1p1f2
1897,13.350946044921898,-0.043273926,tas_toa,MOHC_UKESM1-0-LL,r1i1p1f2
1898,13.386834716796898,0.22276306,tas_toa,MOHC_UKESM1-0-LL,r1i1p1f2
1899,13.308557128906273,0.07984924,tas_toa,MOHC_UKESM1-0-LL,r1i1p1f2
1900,13.387811279296898,-0.16807556,tas_toa,MOHC_UKESM1-0-LL,r1i1p1f2
