Year,Surface_Temperature,Run_Type,Model,Simulation
1850,12.414178466796898,tas_toa,CNRM-CERFACS_CNRM-CM6-1-HR,r1i1p1f2
1851,12.343865966796898,tas_toa,CNRM-CERFACS_CNRM-CM6-1-HR,r1i1p1f2
1852,12.385614013671898,tas_toa,CNRM-CERFACS_CNRM-CM6-1-HR,r1i1p1f2
1853,12.423333740234398,tas_toa,CNRM-CERFACS_CNRM-CM6-1-HR,r1i1p1f2
1854,12.409844970703148,tas_toa,CNRM-CERFACS_CNRM-CM6-1-HR,r1i1p1f2
1855,12.490533447265648,tas_toa,CNRM-CERFACS_CNRM-CM6-1-HR,r1i1p1f2
1856,12.375543212890648,tas_toa,CNRM-CERFACS_CNRM-CM6-1-HR,r1i1p1f2
1857,12.357934570312523,tas_toa,CNRM-CERFACS_CNRM-CM6-1-HR,r1i1p1f2
1858,12.284234619140648,tas_toa,CNRM-CERFACS_CNRM-CM6-1-HR,r1i1p1f2
1859,12.369775390625023,tas_toa,CNRM-CERFACS_CNRM-CM6-1-HR,r1i1p1f2
1860,12.386987304687523,tas_toa,CNRM-CERFACS_CNRM-CM6-1-HR,r1i1p1f2
1861,12.186517333984398,tas_toa,CNRM-CERFACS_CNRM-CM6-1-HR,r1i1p1f2
1862,12.288903808593773,tas_toa,CNRM-CERFACS_CNRM-CM6-1-HR,r1i1p1f2
1863,12.283258056640648,tas_toa,CNRM-CERFACS_CNRM-CM6-1-HR,r1i1p1f2
1864,12.255761718750023,tas_toa,CNRM-CERFACS_CNRM-CM6-1-HR,r1i1p1f2
1865,12.308251953125023,tas_toa,CNRM-CERFACS_CNRM-CM6-1-HR,r1i1p1f2
1866,12.327691650390648,tas_toa,CNRM-CERFACS_CNRM-CM6-1-HR,r1i1p1f2
1867,12.221459960937523,tas_toa,CNRM-CERFACS_CNRM-CM6-1-HR,r1i1p1f2
1868,12.267602539062523,tas_toa,CNRM-CERFACS_CNRM-CM6-1-HR,r1i1p1f2
1869,12.305291748046898,tas_toa,CNRM-CERFACS_CNRM-CM6-1-HR,r1i1p1f2
1870,12.323510742187523,tas_toa,CNRM-CERFACS_CNRM-CM6-1-HR,r1i1p1f2
1871,12.320275878906273,tas_toa,CNRM-CERFACS_CNRM-CM6-1-HR,r1i1p1f2
1872,12.259240722656273,tas_toa,CNRM-CERFACS_CNRM-CM6-1-HR,r1i1p1f2
1873,12.297692871093773,tas_toa,CNRM-CERFACS_CNRM-CM6-1-HR,r1i1p1f2
1874,12.294366455078148,tas_toa,CNRM-CERFACS_CNRM-CM6-1-HR,r1i1p1f2
1875,12.412469482421898,tas_toa,CNRM-CERFACS_CNRM-CM6-1-HR,r1i1p1f2
1876,12.315667724609398,tas_toa,CNRM-CERFACS_CNRM-CM6-1-HR,r1i1p1f2
1877,12.323327636718773,tas_toa,CNRM-CERFACS_CNRM-CM6-1-HR,r1i1p1f2
